k_h
"{'gay': 10, 'lgbt romance': 11, 'male male romance': 8, 'lgbtq': 6, 'male nudity': 4, 'gay protagonist': 2, 'gay sex': 2, 'gay kiss': 3, 'gay love': 3, 'gay romantic comedy': 3, 'president of the united states': 4, 'bisexual': 3, 'gay cinema': 2, 'male rear nudity': 2, 'anal sex': 1, 'prince': 2, 'love': 2, 'based on novel': 2, 'color in title': 1, 'england': 1, 'presidential election': 1, 'enemies to lovers': 1, 'secret relationship': 0, 'rom com': 0, 'romantic comedy': 0, 'kiss': 0}"
"{'spy action': 3, 'female protagonist': 2, 'spy': 1, 'agent': 1, 'spy thriller': 1, 'espionage': 1, 'fight': 0, 'target': 0, 'double agent': 0, 'three word title': 0, '2020s': 0, 'scene before opening credits': 0, 'animated opening credits': 0, 'scar': 0, 'action heroine': 0, 'tough girl': 0, 'female warrior': 0, 'female fighter': 0, 'female spy': 0, 'female agent': 0, 'mi6': 0, 'mi6 agent': 0, 'secret agent': 0, 'undercover': 0, 'undercover agent': 0, 'spy hero': 0, 'spy mission': 0, 'mission': 0, 'fictional spy agency': 0, 'algorithm': 0, 'super computer': 0, 'artificial intelligence': 0, 'spy fi': 0, 'high tech': 0, 'technology': 0, 'psychotronic film': 0, 'hologram': 0, 'gadget': 0, 'gadgetry': 0, 'contact lens': 0, 'laptop computer': 0, 'computer cracker': 0, 'computer hacker': 0, 'indian': 0, 'crisis of conscience': 0, 'redemption': 0, 'revenge': 0, 'megalomaniac': 0, 'world domination': 0, 'power': 0}"
"{'title directed by female': 2, 'lgbt comedy': 2, 'american football sport': 2, 'triple f rated': 2, 'lesbian': 2, 'lesbian interest': 2, 'high school student': 1, 'combat sport': 1, 'sex comedy': 1, 'farce comedy': 1, 'teen comedy': 1, 'dark comedy': 1, 'teen sport': 0, 'one word title': 0, 'fight club': 0, 'teenage girl': 0, 'high school': 0, 'virgin': 0, 'satire comedy': 0, 'high concept comedy': 0, 'raunchy comedy': 0, 'teen romance': 0}"
"{'teenage mutant ninja turtles': 2, 'superhero': 1, 'based on comic book': 1, 'based on comic': 1, 'idw publishing': 1, 'mirage comics': 1, 'reboot': 1, 'turtle': 1, 'ninja': 1, 'fight': 1, 'remake': 1, 'cgi animation': 1, 'computer animation': 1, 'villain': 0, 'teenager': 0, 'teen adventure': 0, '3d animation': 0, 'animal in title': 0, 'superhero team': 0, 'anthropomorphism': 0, 'psychotronic film': 0, 'cg animation': 0, 'superhero action': 0, 'superhero fantasy': 0, 'superhero sci fi': 0, 'new york city': 0, 'rooftop': 0, 'watermelon': 0, 'reference to shrek': 0, 'sai': 0, 'splinter character': 0, ""april o'neil character"": 0, 'leatherhead character': 0, 'bebop character': 0, 'rocksteady character': 0, 'team action': 0, 'leonardo the teenage mutant ninja turtles character': 0, 'donatello the teenage mutant ninja turtles character': 0, 'michelangelo the teenage mutant ninja turtles character': 0, 'raphael the teenage mutant ninja turtles character': 0, 'rat': 0, 'warthog': 0, 'rhinoceros': 0, 'alligator': 0, 'supervillain': 0, 'city': 0, 'weapon': 0, 'sword': 0, 'knife': 0, 'nunchaku': 0}"
"{'based on tabletop role playing game': 6, 'dungeons and dragons': 4, 'based on game': 4, 'magic': 3, 'dragon': 2, 'sword and fantasy': 2, 'exploration': 0, 'warrior': 0, 'sword': 0, 'axe': 0, 'staff': 0, 'torch': 0, 'fight': 0, 'castle': 0, 'catapult': 0, 'villain': 0, 'bow and arrow': 0, 'helmet': 0, 'armor': 0, 'battle': 0, 'fire': 0, 'shield': 0, 'surrealism': 0, 'owlbear': 0, 'epic fantasy': 0, 'reboot': 0, 'druid': 0, 'necromancy': 0, 'betrayal': 0, 'epic adventure': 0, 'sword and sorcery': 0, 'sequel baiting': 0, 'dungeon': 0, 'prison': 0, 'prisoner': 0, 'prison guard': 0, 'council': 0, 'escape from prison': 0, 'talking animal': 0, 'anthropomorphism': 0, 'inanimate object comes to life': 0, 'narcissist': 0, 'evil lord': 0, 'lord': 0, 'world domination': 0, 'tyrant': 0, 'evil man': 0, 'arena': 0, 'cheering crowd': 0, 'thief': 0}"
"{'lgbt': 2, 'disembodied hand': 1, 'ghost': 1, 'teen horror': 1, 'australian': 1, 'singing along to music on a car radio': 1, 'singing in a car': 1, 'dog': 1, 'candle': 1, 'title spoken by character': 1, 'supernatural vision': 0, 'dead mother': 0, 'conjuring spirits': 0, 'soul': 0, 'vision': 0, 'visions': 0, 'spirit': 0, 'poltergeist': 0, 'lonely teenager': 0, 'talk to me': 0, 'loneliness': 0, 'soul conjuring': 0, 'teenager': 0, 'rebelious spirits': 0, 'australian spirits': 0, 'conjuring': 0, 'ceramic hand': 0, 'loner': 0, 'hand': 0, 'youth mental health': 0, 'mother': 0, 'dead parent': 0, 'addiction': 0, 'female protagonist': 0, 'mental health': 0, 'teen mental health': 0, 'australia': 0, 'south australia': 0, 'adelaide australia': 0, 'supernatural power': 0, 'supernatural thriller': 0, 'supernatural horror': 0, 'australian horror': 0, 'long take': 0, 'opens with long take': 0, 'murder': 0, 'suicide': 0, 'singing': 0, 'kangaroo': 0, 'wounded animal': 0}"
"{'boogeyman': 2, 'teenage girl': 1, 'monster': 1, 'closet': 1, 'sister sister relationship': 1, 'monster attack': 1, 'based on the works of stephen king': 1, 'the boogeyman': 1, 'bogeyman': 1, 'father daughter relationship': 1, 'nighttime': 1, 'night': 1, 'sleep': 1, 'nightmare': 1, 'monster in the closet': 1, 'traumatized protagonist': 1, 'trauma': 1, 'family trauma': 1, 'counselor': 1, 'therapist': 1, 'therapy session': 1, 'deceased mother': 1, 'daughter misses her dead mother': 1, 'mother daughter relationship': 1, 'loss of family member': 1, 'death of family member': 1, 'dark house': 1, 'friendship between girls': 1, 'family relationships': 1, 'emotional trauma': 1, 'deceased child': 1, 'afraid of a monster': 1, 'child afraid of a monster': 1, 'death of mother': 1, 'death of child': 1, 'based on short story': 0, 'children': 0, 'child': 0, 'house': 0, 'teenager': 0, 'young': 0, 'brother': 0, 'secret': 0, 'psychiatrist': 0, 'grieving': 0, 'under the bed': 0, 'little girl': 0, 'darkness': 0, 'moon globe': 0, 'hanging': 0}"
"{'based on comic': 4, 'god complex': 2, 'raccoon': 2, 'guardians of the galaxy': 3, 'marvel comics': 4, 'superheroine': 2, 'superhero': 2, 'third part': 2, 'team': 1, 'spaceship': 1, 'alien planet': 1, 'outer space': 1, 'space travel': 1, 'talking animal': 1, 'anthropomorphism': 1, 'good versus evil': 1, 'genetic manipulation': 1, 'mad scientist': 1, 'anthropomorphic animal': 1, 'planet': 1, 'humanoid alien': 1, 'animal cruelty': 1, 'space pirate': 1, 'flashback': 1, 'origin story': 1, 'near death': 1, 'race against time': 1, 'baby raccoon': 1, 'disfigurement': 1, 'rescue': 1, 'animal in a cage': 1, 'child in a cage': 1, 'grief': 1, 'surrogate family': 1, 'alien species': 1, 'animal abuse': 1, 'test subject': 1, 'heartache': 1, 'obsession': 1, 'laboratory': 1, 'exploding ship': 1, 'tragic past': 1, 'animal testing': 1, 'kidnapping': 1, 'deception': 1, 'creature': 1, 'betrayal': 1, 'girl': 1, 'male protagonist': 1, 'love interest': 1}"
"{'career': 1, 'mechanic': 1, 'car': 0, 'based on biography': 0, '1950s': 0, 'year 1957': 0, '20th century': 0, 'timeframe 20th century': 0, 'ferrari': 0, 'vehicle': 0, 'luxury': 0, 'life': 0, 'driver': 0, 'industry': 0, 'job': 0, 'work': 0, 'character name in title': 0, 'based on real people': 0, 'based on true story': 0}"
"{'child sex trafficking': 6, 'rescue': 5, 'gay': 9, 'children': 4, 'crime fighting': 4, 'dangerous mission': 4, 'brother sister relationship': 4, 'based on true story': 5, 'traffickers': 3, 'race against time': 3, 'mission': 3, 'speaking spanish': 3, 'little boy': 3, 'gay pedophile': 5, 'fictionalized account': 5, 'qanon': 8, 'sex offender': 3, 'boat': 2, 'computer': 2, 'child': 2, 'human sex trafficking': 2, 'little girl': 2, 'rescue mission': 2, 'pedophilia': 2, 'pedophile': 2, 'three word title': 2, 'slavery': 2, 'conspiracy theory': 6, 'fabrication': 4, 'gay man': 3, 'homosexual': 3, 'sex trafficking': 1, 'sex trafficker': 1, 'sex traffic': 1, 'bed': 1, 'small girl': 1, 'small boy': 1, 'necklace': 1, 'sex trafficked': 1, 'reference to sex trafficking': 1, 'colombia': 1, 'federal agent': 1, 'agent': 1, 'pc': 1, 'pedo': 1, 'convicted pedophile': 1, 'pedophile hunter': 1, 'water': 1, 'fat man': 1, 'special agent': 1}"
